0.05,2.5,4.0,60.0
1.36333333,3.9589999999999996,-0.0
16.0,25.0,0.0
21.0,21.0,-0.7853981633974483
23.54953333,20.0,0.0
---
0.05,1.365288335806582,3.959000119773246,0.002403846153846154,0.09615384615384616,1.9230769230769231,38.46153846153846,1.2253882370649727E-4
0.05,1.3749037188243858,3.9590041983052644,0.01201923076923077,0.2884615384615385,3.8461538461538467,38.46153846153847,7.260143228229321E-4
0.05,1.3941344701767981,3.9590297948653217,0.03125,0.4807692307692308,3.846153846153846,-1.7763568394002505E-14,0.0019369063210143977
0.05,1.4229805028010396,3.9591119784817406,0.06009615384615384,0.673076923076923,3.8461538461538445,-2.6645352591003757E-14,0.003763155394383655
0.05,1.461441553638854,3.959303831548394,0.0985576923076923,0.8653846153846154,3.846153846153848,7.105427357601002E-14,0.0062168210910876764
0.05,1.5095170078103033,3.9596770349958477,0.1466346153846154,1.0576923076923077,3.846153846153846,-4.440892098500626E-14,0.009314263531987166
0.05,1.5672056698652777,3.960322666529486,0.20432692307692307,1.25,3.846153846153846,0.0,0.01307639310992903
0.05,1.6345054315176102,3.9613522275350013,0.27163461538461536,1.442307692307692,3.8461538461538414,-8.881784197001252E-14,0.017528991429881957
0.05,1.7114128695498416,3.9628989195702236,0.3485576923076923,1.6346153846153846,3.8461538461538503,1.7763568394002505E-13,0.02270311392649771
0.05,1.7979227182422477,3.965119195844953,0.43509615384615385,1.8269230769230769,3.846153846153846,-8.881784197001252E-14,0.028635580878618172
0.05,1.8940271874444046,3.968194618421772,0.53125,2.019230769230769,3.846153846153846,0.0,0.035369567334174956
0.05,1.9997151324818907,3.9723340593842407,0.6370192307692308,2.2115384615384617,3.8461538461538503,8.881784197001252E-14,0.04295530728505581
0.05,2.114970984412781,3.9777762886209462,0.7524038461538463,2.4038461538461537,3.8461538461538414,-1.7763568394002505E-13,0.0514509231544763
0.05,2.237374024562555,3.98464686205945,0.8750000000000001,2.5,1.9230769230769251,-38.461538461538325,0.060738533017139495
0.05,2.362104727537061,3.992840014412836,1.0,2.5,0.0,-38.4615384615385,0.07049579684232288
0.05,2.486748108678343,4.002268471256368,1.125,2.5,0.0,0.0,0.08055484024320059
0.05,2.6112886441828875,4.01296962899539,1.25,2.5,0.0,0.0,0.09092758903749532
0.05,2.735709501424348,4.0249821651308935,1.375,2.5,0.0,0.0,0.1016263724331975
0.05,2.8599924373603054,4.038346053532822,1.5,2.5,0.0,0.0,0.11266391118527508
0.05,2.9841176815851265,4.053102572380428,1.625,2.5,0.0,0.0,0.12405329892151784
0.05,3.1080638305012966,4.06929430636022,1.75,2.5,0.0,0.0,0.1358079779221365
0.05,3.2318077188963272,4.086965138074319,1.875,2.5,0.0,0.0,0.1479417051570885
0.05,3.3553242934755554,4.106160229579313,2.0,2.5,0.0,0.0,0.1604685093865038
0.05,3.4785864748573108,4.126925990476408,2.125,2.5,0.0,0.0,0.17340263654814458
0.05,3.601565018775359,4.149310031887521,2.25,2.5,0.0,0.0,0.18675848279924134
0.05,3.7242283727674916,4.173361103541014,2.375,2.5,0.0,0.0,0.20055051307211447
0.05,3.846542521037665,4.1991290096662235,2.5,2.5,0.0,0.0,0.2147931623196554
0.05,3.9684708394251658,4.226664504919159,2.625,2.5,0.0,0.0,0.2295007198281419
0.05,4.089973940277944,4.256019163267283,2.75,2.5,0.0,0.0,0.24468719224158197
0.05,4.211009527350304,4.28724522051208,2.875,2.5,0.0,0.0,0.2603661455038374
0.05,4.331532246212305,4.320395383382321,3.0,2.5,0.0,0.0,0.27655052191166885
0.05,4.451493551957611,4.355522606562934,3.125,2.5,0.0,0.0,0.2932524331547032
0.05,4.570841588731937,4.392679832775105,3.25,2.5,0.0,0.0,0.3104829272592379
0.05,4.689521083077206,4.431919692280557,3.375,2.5,0.0,0.0,0.3282517286265789
0.05,4.807473262341684,4.4732941612431665,3.5,2.5,0.0,0.0,0.34656695239238344
0.05,4.924635804269084,4.516854177704549,3.625,2.5,0.0,0.0,0.36543479467217166
0.05,5.040942825592984,4.562649215294318,3.75,2.5,0.0,0.0,0.38485920174112354
0.05,5.156324907217019,4.610726811578608,3.875,2.5,0.0,0.0,0.4048415208958249
0.05,5.270709180065536,4.661132059410955,4.0,2.5,0.0,0.0,0.425380141800465
0.05,5.384019463224197,4.713907058937531,4.125,2.5,0.0,0.0,0.4464701337267979
0.05,5.496176477452325,4.769090342742654,4.25,2.5,0.0,0.0,0.46810289152273243
0.05,5.6070981257570365,4.826716275682096,4.375,2.5,0.0,0.0,0.49026579974691903
0.05,5.716699861264922,4.886814446735418,4.5,2.5,0.0,0.0,0.512941931661009
0.05,5.824895128514574,4.949409056648106,4.625,2.5,0.0,0.0,0.5361097949912588
0.05,5.931595903570109,5.014518329076179,4.75,2.5,0.0,0.0,0.5597431455662564
0.05,6.0367133074054085,5.082153949106128,4.875,2.5,0.0,0.0,0.5838108801862281
0.05,6.140158305601274,5.152320557282343,5.0,2.5,0.0,0.0,0.6082770277428025
0.05,6.241842474509493,5.225015311346876,5.125,2.5,0.0,0.0,0.6331008492785797
0.05,6.341678830348695,5.300227540037495,5.25,2.5,0.0,0.0,0.6582370587519485
0.05,6.4395826951329695,5.377938499449675,5.375,2.5,0.0,0.0,0.6836361672812236
0.05,6.53547258982678,5.458121254038783,5.5,2.5,0.0,0.0,0.7092449528416358
0.05,6.629271123753473,5.540740687483561,5.625,2.5,0.0,0.0,0.7350070465533657
0.05,6.72090586052235,5.625753653727856,5.75,2.5,0.0,0.0,0.760863623422799
